id,question,context,status,priority,answer,asked_date,answered_date,who,related_table,related_field
dfw_dungeness-crab_01,"Should counts be standardized to whole-sample or per-volume abundance, and with which factor?","Each row records the aliquot fraction examined (1, 0.5, 0.25, 0.125 and ~15 odd values like 0.164) and a settled sample volume in ml, but no filtered water volume or standard haul factor. Without the tow's volume_sampled the counts cannot be turned into density; matching to the swfsc_ichthyo net records could supply it.",open,blocker,,,,"L. Rogers-Bennett (CDFW/UC Davis); A. Klemmedson",dungeness_measurement,measurement_value
dfw_dungeness-crab_02,"Is the whole 2008-2014 time series (310 samples) intended as one continuous survey, and are the 13 per-cruise sheets superseded by 'Compiled Cruises'?","'Compiled Cruises' has 310 rows and matches the workbook's own 'Plots' summary (310 samples, 24 M. magister). The 13 per-cruise sheets total 313 and hold the Dungeness count as prose ('0 Metacarcinus magister megalopae removed') rather than a number. This ingest treats 'Compiled Cruises' as authoritative; please confirm which 3 rows were dropped and why.",open,high,,,,A. Klemmedson,dungeness_sample,
dfw_dungeness-crab_03,"Which of the historic 'Cancer magister' identifications should be treated as valid?","The 2012 correspondence states that pre-2012 samples labelled Cancer magister by Reilly are probably mislabelled, and that 3 of the 5 specimens sent for verification were judged probable C. productus. This determines whether the sorting log's historic records can support a pre-2008 time series at all.",open,high,,,,"L. Rogers-Bennett (CDFW/UC Davis); E. Jones (SIO)",dungeness_specimen,is_magister
dfw_dungeness-crab_04,"Are the repeated rows in the sorting log one row per archived jar, or duplicate entries?","The unsorted sheet has 1795 rows but only 1660 distinct ones, and 135 repeated (expedition, line, station, date, start time) combinations; the sorted sheet has 5. If these are per-jar, a jar identifier would make the inventory countable.",open,high,,,,E. Jones (SIO),dungeness_sorting_log,
dfw_dungeness-crab_05,"What time zone are the collection times in?",Neither workbook states a time zone. CalCOFI cruise logs are usually local (PST/PDT). Times are carried through as given and stamped into datetime_start_utc pending confirmation; the matched swfsc_ichthyo station occupations give an independent check.,open,high,,,,"A. Klemmedson; E. Jones (SIO)",dungeness_sample,datetime_start_utc
dfw_dungeness-crab_06,"Should the free-text identification notes be parsed into structured taxon/stage/length records?","The Description cells hold real data — e.g. 'Zoea III (2) 2.4mm, 2.6mm; Zoea IV (1) 2.8mm; Zoea V (1) 4.8mm' and 'Hippidae (4); Hippidae pre-zoea (3)' — naming families (Majidae, Hippidae, Pinnotheridae, Grapsidae), zoeal stages and individual lengths. They are kept as free text here rather than machine-parsed, since the vocabulary and the count/length pairing need a reviewer's eye.",open,normal,,,,A. Klemmedson,dungeness_measurement,taxa_description
dfw_dungeness-crab_07,"Is one longitude in the sorting log a sign error?",One unsorted-sheet row records longitude +138.483; every other row is negative (-121.98 to -164.08). It is set to NULL here rather than silently negated.,open,normal,,,,E. Jones (SIO),dungeness_sorting_log,longitude
dfw_dungeness-crab_08,"Is 'dfw' the right provider, and who is the citable custodian?","The sorting was done at SIO's Pelagic Invertebrate Collection on CDFW's request (Rogers-Bennett, Juhasz, Kalvass); the time series was compiled by A. Klemmedson. Provider is set to dfw (CDFW commissioned and holds the work), but the data were generated at SIO. Also needed: a citation, a licence, and whether these files may be published.",open,blocker,,,,"L. Rogers-Bennett (CDFW/UC Davis)",dataset,
dfw_dungeness-crab_09,"Do the 4 samples that did not match a CalCOFI station occupation have known positions?","306 of 310 samples match swfsc_ichthyo on (cruise, line/station, order_occ); 4 do not, and their line/station/order_occ combinations do not appear on the stated cruise. They have no coordinates as a result.",open,normal,,,,A. Klemmedson,dungeness_sample,position_source
dfw_dungeness-crab_10,"Are the 3 station occupations appearing twice in 'Compiled Cruises' replicate subsamples of one tow?","(cruise, line, station, order_occ) repeats for 1004FR/009.1 010.9/occ 3, 1204OS/063.3 060.0/occ 22 and 1204OS/070.0 055.0/occ 45. The last has 1 M. magister megalopa in each row, and the workbook's own 'M. magister values' sheet aggregates the pair into a single row of 2 — so they appear to be replicates rather than duplicates. Confirming this decides whether occurrence rate is 15/310 or 14/307, and whether a replicate identifier can be recovered.",open,high,,,,A. Klemmedson,dungeness_sample,
