label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q01,cce-lter_euphausiids_01,What are the units and standardization of Abundance?,"Required to register the measurement type (e.g. individuals per 1000 m^3 standardized haul, or per m^2). Values range 0 to 53,489.5 with 60 zeros.",answered,blocker,,"Resolved via the EDI package metadata (knb-lter-cce.313.1): abundance is vertically integrated number of individuals beneath 1 m^2 of sea surface (numberPerMeterSquared), not volumetric density. Confirmed by both the dataset abstract and per-column unit metadata.",,2026-07-25,Rasmus Swalethorp; Linsey Sala,euphausiids_measurement,measurement_value
Q02,cce-lter_euphausiids_02,"What taxonomic scope does each tow's Abundance represent - all euphausiid species combined, or a specific species/genus? Any life-stage restriction?",No species column; needed to assign species_id/taxon and to publish to OBIS/EDI correctly.,answered,blocker,,"Resolved by switching to the species- and life-stage-resolved BTEDB export as the ingest source, not by provider response — the prior single-column extract lacked taxonomic scope entirely; this export has 225 species x life-stage columns.",,2026-07-24,Rasmus Swalethorp; Linsey Sala,euphausiids_tow,abundance
Q05,cce-lter_euphausiids_05,"About 15 tows have positive longitudes (+117 to +121) that look like sign errors, and one tow (tow_id 7364, CALCOFI 1504) has lat 87.25 / lon -34.454 far outside the survey area. Flip sign / exclude?",Affects spatial assignment and grid_key; we propose flipping obvious sign errors and dropping the 87.25 N point unless you can correct it.,answered,high,,"Resolved: verified against the authoritative source file (md5 3e7b7cf338c4c9cb5a5e8d4196a979e8, matches EDI package checksum, 7,482 rows) -- the original '~15 positive longitudes' estimate was inaccurate; the actual count is 1 (RowNumber 638, +121.433), now flipped to -121.433 (EDI bounding box -126.5 to -112.4W confirms in-range once flipped). The lat 87.25 / lon -34.454 point (tow_id 7364) is dropped entirely -- lat alone looks like a plausible 87->37 digit-transposition against the bounding box (22-37.8N), but the paired longitude does not resolve to anything in range under any transposition/sign-flip tried, so the point is nulled rather than partially corrected.",,2026-07-25,Rasmus Swalethorp; Linsey Sala,euphausiids_tow,longitude
Q06,cce-lter_euphausiids_06,One tow has a TowEnd timestamp in year 2371 (out of range). What is the correct value?,Likely a transcription error; we will null or correct it pending your answer.,answered,normal,,"Resolved by direct inspection of the raw data: tow_id 7359 (CALCOFI 1504), TowBegin = 2015-04-05 02:13:00, TowEnd = 2371-04-05 00:00:00. Month/day match TowBegin exactly, so this is a single-digit year transcription error; corrected to 2015 rather than nulled.",,2026-07-25,Rasmus Swalethorp; Linsey Sala,euphausiids_tow,tow_end_utc
Q07,cce-lter_euphausiids_07,Are TowBegin/TowEnd recorded in UTC or local (Pacific) time?,datetime_utc is the cross-dataset match key to casts/cruises; a local-time assumption would bias matching.,answered,normal,,Resolved via the EDI package metadata: column definitions explicitly state 'Local time of beginning/end of plankton tow' and 'Sampling date (local time)'. The ingest previously assumed UTC -- this was wrong and has been corrected to convert from America/Los_Angeles local time to UTC (handles historical PST/PDT transitions).,,2026-07-25,Rasmus Swalethorp; Linsey Sala,euphausiids_tow,datetime_utc
Q08,cce-lter_euphausiids_08,60 tows have Abundance exactly 0 - are these true absences (zero catch) or missing/not-recorded?,Determines whether zeros are retained as real observations or treated as NA.,answered,normal,,"Resolved via the EDI package abstract: 'Each sample was screened for the same set of species, and zero values represent an absence of a given taxon in the sample.' Zeros are true observations, not missing data. (Note: the ingest pivot still drops zero rows from the long/fact table by convention -- this is a storage-efficiency choice given screening is complete for every tow, not a treatment of zero-as-missing.)",,2026-07-25,Rasmus Swalethorp; Linsey Sala,euphausiids_measurement,measurement_value
Q09,cce-lter_euphausiids_09,"Two species present in the DB's canonical euphausiid taxon list do not appear anywhere in this BTEDB export: Bentheuphausia amblyops and Thysanopoda cristata. Does BTEDB track these species at all, or were they simply never encountered in these tows?","Determines whether this is a data gap (species exists in source, just not yet exported) or a true absence (species never recorded in BTEDB's sampling). Affects whether the portal should show these two as 'no data' or omit them from this dataset's coverage entirely.",open,normal,,"Supporting evidence found, not a full provider confirmation: both species appear in BTEDB's own Size-to-Phase reference table (with full calyptopis/furcilia/juvenile/adult length breakpoints) alongside the other 35 species, indicating they're part of BTEDB's standard 37-species identification taxonomy rather than untracked. Leans toward true absence in these tows rather than a data gap. Left open pending explicit provider confirmation.",2026-07-24,,Rasmus Swalethorp; Linsey Sala,euphausiids_taxon,scientific_name
Q10,cce-lter_euphausiids_10,"The DB's 'Hansarsia' genus (atlantica, difficilis, gracilis, microps, tenella) appears to be the same 5 species as BTEDB's 'Nematoscelis' under an older genus name. Can you confirm these resolve to the same WoRMS AphiaID under either name?","If confirmed a straight synonym, resolved via calcofi4db's standardize_species() against WoRMS during taxon consolidation; flagging here so it isn't miscounted as 5 additional/different species.",open,normal,,,2026-07-24,,Rasmus Swalethorp; Linsey Sala,euphausiids_taxon,scientific_name
Q03,cce-lter_euphausiids_03,How should the Cruise label map to the CalCOFI cruise_key (YYYY-MM-NODC)?,"Labels are mixed: 'CALCOFI 5101', bare '7002', and prefixed 'CALCOFI BD5511B'; 253 distinct. Can you supply the NODC ship code or confirm YYMM parsing and the meaning of the BD prefix?",open,low,,"Partial: YYMM decode looks correct (e.g. 5101 -> 1951-01) per third-party corroboration (sanctuarysimon.org project database), but not confirmed by an authoritative CalCOFI/NODC source. NODC ship code and the 'BD' prefix meaning remain unresolved. Downgraded from high to low priority: ship_name/cruise_key appear to be secondary provenance/cross-check fields for this dataset, not primary join keys, based on how the mesopelagic-fish ingest used them.",,,Rasmus Swalethorp; Linsey Sala,euphausiids_tow,cruise_orig
Q04,cce-lter_euphausiids_04,Can you confirm canonical vessel names for ship resolution?,"38 distinct names include duplicates differing only by case/prefix/spacing (e.g. 'New Horizon' vs 'NEW HORIZON', 'R/V BLACK  DOUGLAS' vs 'BLACK DOUGLAS'); we will normalize and resolve to the NODC ship_key.",answered,low,,"Resolved by direct inspection of the raw Ship column (37 distinct values, not 38): normalized case/prefix(R/V)/whitespace/period variants plus the SHIMADA alias down to 30 canonical vessels (verified at ingest: 100% ship_key match) (New Horizon, Black Douglas, Ekvator, Paolina T., Stranger each collapse two-to-three raw forms). One additional merge confirmed manually: SHIMADA = BELL M. SHIMADA (same NOAA vessel). NODC ship_key lookup for each canonical name is still open but downgraded to low priority/non-blocking -- ship_name appears to be a secondary field, not a join key, for this dataset.",,2026-07-25,Rasmus Swalethorp; Linsey Sala,euphausiids_tow,ship_name
