label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q01,calcofi_bmc_01,"Is Time (sec) seconds-of-day in local (Pacific) time, and which timezone applies across the 1987-2021 record?",Needed to build datetime_start_utc correctly.,open,high,,,,,Bill Sydeman; CCE-LTER IM,bird_mammal_transect,datetime_start_utc
Q02,calcofi_bmc_02,How should the Cruise label (e.g. CAC1987_05) map to a CalCOFI cruise_key (YYYY-MM-NODC)? There is no ship column in the transect table.,"Without a ship/NODC code, cruise_key can only be matched by year-month (ambiguous when multiple ships sailed). SVY distinguishes CalCOFI/NMFS/CPR programs.",proposed,high,"Resolved from the data rather than the label: each transect is matched to the nearest CalCOFI station occupied the same day (ichthyo sample track), and the majority vote across a survey label assigns that label's cruise_key. 117 of 119 labels resolve, 114 of them unanimously (>99% of votes), covering 98.8% of transects; no two labels claim the same cruise. Independent check: the six labels that DO carry a ship suffix (CAC2003_04DS/RR, CAC2004_04DS/NH, CAC2005_04DS/NH) each resolve to exactly that vessel (David Starr Jordan, Roger Revelle, New Horizon), including in months when 2-3 ships sailed. Note the label's year-month is NOT reliable on its own: CAC2014_01 ran 2014-01-29 to 02-04 and belongs to cruise 2014-02-3322, and CAC1990_07 belongs to 1990-08-32NM. Two labels stay NULL: Fronts_0711 (a CCE-LTER Fronts process cruise, no CalCOFI cruise in window) and CAC2021_7 (rode 2021-07-33P4, which is missing from our cruise reference table). Please confirm the ship suffix meanings and whether Fronts_0711 should be attributed to a CCE-LTER cruise instead.",,,,Bill Sydeman; CCE-LTER IM,bird_mammal_transect,cruise_key
Q03,calcofi_bmc_03,Confirm the dataset provider/attribution for the CalCOFI DB (CalCOFI program vs CCE-LTER vs Farallon Institute).,"Tentatively provider=calcofi; data curated via CCE-LTER DataZoo 255, PI Bill Sydeman (Farallon Institute).",open,normal,,,,,Bill Sydeman; CCE-LTER IM,bird_mammal_transect,
Q04,calcofi_bmc_04,"Depth (m) values are negative (e.g. -3993). Is this bottom depth as negative elevation, and should we store positive-down?",Affects bottom_depth_m sign convention.,open,normal,,,,,Bill Sydeman; CCE-LTER IM,bird_mammal_transect,bottom_depth_m
Q05,calcofi_bmc_05,"Confirm the taxonomic reading of eight species codes: CODO/SBCD both resolve to Delphinus delphis and CSLI/CASL both to Zalophus californianus (each pair merges to one taxon); PIWH is genus-level Globicephala; LBCD (Delphinus capensis) is a nomen dubium; and DKSH / HYGU / XCMU carry the literal scientific_name ""(species group)"".","The source allspecieslist.csv gives an ITIS TSN per code, but these eight have no clean 1:1 species. 28 of the bird TSNs it supplies are also deprecated in ITIS (e.g. Puffinus griseus 174553 -> Ardenna grisea 1255050); the ingest now re-keys onto the accepted TSN and records the change in taxon.notes.",proposed,normal,"Resolve the three species groups to their genus (DKSH -> Ardenna, HYGU -> Larus, XCMU -> Synthliboramphus), since no member species is defensible for a field record that did not separate them; keep the merged pairs merged; keep PIWH at genus. Recorded in metadata/taxon_override.csv with review=TRUE. Counts by code are unaffected — only the taxon a code points at.",,,,Bill Sydeman; CCE-LTER IM,bird_mammal_species,species_code
Q06,calcofi_bmc_06,Please confirm the plausible-value bounds declared for farallon_bird-mammal's 1 measurement type(s).,"metadata/measurement_type.csv now carries valid_min/valid_max for this dataset's types; calcofi4db::check_measurement_bounds() enforces them at ingest and release_database.qmd re-checks before freezing. Bounds are used ONLY to reject the impossible, never to police unusual-but-real values, so they are deliberately generous. Declared: count 0..(no max).",proposed,normal,Bounds declared as listed and enforced; no published value violates them. Confirm or correct the limits.,,2026-08-08,,,obs,measurement_value
Q07,farallon_bird_mammal_07,"Some observations in this dataset resolve no CalCOFI grid cell. Are these positions genuinely off-grid (transit, historical stations outside the modern pattern), a coarser spatial notion with no point position, or a coordinate error?","72 of     66,344 obs rows (0.11%) resolve no CalCOFI grid cell;      0 of those carry no latitude/longitude at all. These are now RELEASED rather than dropped. Are they off-grid positions (transit, historical stations), a coarser spatial notion (region-pooled), or a coordinate error?",open,normal,"Until v2026.08.10 these rows were DROPPED from `obs` entirely by a `WHERE grid_key IS NOT NULL` filter, while their sampling events stayed in `sample` — so the dataset silently lost them. They are now released with a NULL grid_key. We are not proposing to re-exclude them; we need to know which of the three cases applies so the metadata can say so. A coordinate error is the one that matters most: the sign-flipped Longitude_W on five CalCOFI cruises was invisible precisely because being off-grid removed the rows without a trace.",,,,,obs,grid_key
Q08,farallon_bird_mammal_08,"Transect effort (length_m, width_m, area_m2, time_sec) is in the source but not in the release. Is area_m2 the surveyed strip area, and are counts raw sightings (not already effort-corrected), so count / area_m2 x 1e6 is a density per km2?","CalCOFI Explorer plan D8 (2026-08-28): effort travels with every bio observation and two canonical densities (per 10 m2 areal, per 1000 m3 volumetric) are derived once in the release; rows without effort ship as effort_class = raw_count_no_effort and the app says so.",proposed,normal,"We will emit transect effort to sample_measurement (area_m2, time_sec) and publish a third, per-km2 denominator for birds and mammals; it is never averaged with the per-10 m2 or per-1000 m3 net densities.",,,,,sample_measurement,area_m2
Q09,farallon_bird_mammal_09,"What is the formal (author, year, title) citation for the CalCOFI Farallon Institute Seabirds / Bird & Mammal Census dataset?","citation_main is empty. The ERDDAP CAC_FI_SBAS_obs.das globals give creator_name ""Sarah Ann Thompson"", institution ""Farallon Institute, Scripps Institution of Oceanography"", title ""CalCOFI Farallon Institute Seabirds: Observations"", but no formal citation string with a year. See also Q03 (provider/attribution, still open) — this row is specifically about the citation string. Checked 2026-09-03.",proposed,normal,"Thompson, S.A.; Sydeman, W.J. (Farallon Institute). CalCOFI Farallon Institute Seabirds: Observations. NOAA ERDDAP CAC_FI_SBAS_obs.",,,,Bill Sydeman; Sarah Ann Thompson,dataset,citation_main
Q10,farallon_bird_mammal_10,"Please confirm the species vocabulary as served on ERDDAP (CAC_FI_SBAS_sp): (a) MEGU is in the observations (71 rows, 1987-2019) but not in the species table, which instead lists SBIG twice (""Mew Gull"" with no scientific name, and ""Short-billed gull"" Larus brachyrhynchus) - is MEGU the pre-2021 code for the same bird? (b) DataZoo 255's allspecieslist carried an ITIS TSN and an Include flag per code that ERDDAP does not; could they be published there, and how should the 44 codes ERDDAP added since DataZoo be flagged? (c) CODO is now ""Delphinus sp."" on ERDDAP while our override keys it to Delphinus delphis (Q05), and XCMU is now ""Synthliboramphus craveri"" while we keep the genus - which reading is intended? (d) the behavior-code list (CAC_FI_SBAS_beh) is not on ERDDAP.","Measured 2026-09-03 against oceanview.pfeg.noaa.gov: CAC_FI_SBAS_sp lists 241 codes (bird 178, mammal 45, fish 13, turtle 6; SBIG twice), DataZoo 255 listed 200; 44 codes are ERDDAP-only, of which the observations reference 15 (GUMU 287 rows, UNLP 118, SCMU 73, CHSP 73, LOTU 28, TOSP 24, CRAB 9, NABO 8, UNMT 5, VEVE 4, RAPT 3, MABO 3, FISH 2, TUNA 2, WIWA 1); MEGU (71 rows) is the only observed code absent from the species table; CSLI and XAMU (DataZoo) are gone (CASL, GUMU/SCMU carry those observations). For the 197 codes both lists share the ITIS TSN DataZoo gave keys the same taxon as before (154 of 154 taxa unchanged), and ERDDAP's scientific names are newer for 48 of them (Hydrobates, Ardenna, Urile ...). The vocabulary is staged in the release's dataset_taxon table with DataZoo's TSN kept as the source claim (ds_source_json).",proposed,normal,"MEGU and SBIG both key itis:1192602 Larus brachyrhynchus (WoRMS has no record for the species, so the key rests on ITIS alone; DataZoo's TSN 176832 Larus canus is kept as the source claim). Of the ERDDAP-only codes we stage the marine taxa the observations use - GUMU, SCMU, CHSP (as the ITIS subspecies Hydrobates leucorhous chapmani), TOSP, NABO, MABO, LOTU, and the classes UNLP and UNMT (-> Aves, like the other UN** codes) - and exclude CRAB (gear), FISH, TUNA, VEVE (not birds, mammals or turtles), RAPT and WIWA (land birds, as DataZoo excluded YRWA/BRSP/EUST). The 28 unreferenced ERDDAP-only codes (AISP ALTE BFBO BHCO BLGU BTYW COEI DOVE ECDO GWWG LTDU MASH RFCO SAVS TBMU TOWA UNBO UNEI UNKI WATA WVAL YBLO BRWH RWDO SPDO UNFS GRWS SASH) are not staged until you flag them. CODO stays Delphinus delphis and XCMU the genus Synthliboramphus (Q05) until you say otherwise.",,,,Sarah Ann Thompson; Bill Sydeman,dataset_taxon,ds_taxa_code
