provider,dataset,gh_issue,priority,stage,explore,metadata,ingest,validate,publish_obis,publish_erddap,publish_edi,blockers,updated
swfsc,ichthyo,,must-complete,published,done,done,done,done,done,#38;#39;#40 planned,n/a,,2026-06-07
calcofi,bottle,,must-complete,ingested,done,done,done,done,n/a,#37 planned,n/a,,2026-06-07
calcofi,ctd-cast,,must-complete,ingested,done,done,done,done,n/a,#36 planned,n/a,,2026-06-07
calcofi,dic,#25,must-complete,validated,done,done,done,done,n/a,#41 planned,n/a,spatial match only 24.7% (#47),2026-06-07
calcofi,spatial,#54,should-complete,ingested,done,done,done,done,n/a,n/a,n/a,GEBCO bathymetry layer pending (#54),2026-06-07
swfsc,invert,,must-complete,ingested,done,done,done,done,n/a,n/a,n/a,folded into swfsc/ichthyo,2026-06-07
cce-lter,euphausiids,#26,must-complete,ingested,done,done,done,done,n/a,n/a,#42 planned,ingested w/ provisional units+taxon (Q01/Q02); ship 98.3%/cruise 81.9% matched,2026-06-07
pic,zooplankton,#27,must-complete,ingested,done,done,done,done,n/a,n/a,#42 planned,"tow registry ingested (99,530 CalCOFI-region tows); biovolume pending Q01",2026-06-07
calcofi,phytoplankton,#28,must-complete,explored,done,,,,n/a,n/a,planned,"ACQUIRED: EDI knb-lter-cce.254.4 (Venrick, 1996-2022, region-pooled, 162.8k long rows, 385 taxa); parser libs/parse_phytoplankton.R; pending grain decision (Q01) + WoRMS + cruise_key year-month match",2026-06-07
calcofi,bird_mammal_census,#29,should-complete,ingested,done,done,done,done,#43 planned,n/a,planned,"transect+obs+species+behavior (1987-2021, Sydeman/DataZoo255); covers seabird #29 + mammal #30",2026-06-07
calcofi,seabird,#29,should-complete,todo,,,,,#43 planned,n/a,planned,confirm provider/source; underway census,2026-06-07
calcofi,mammals,#30,should-complete,todo,,,,,#44 planned,n/a,planned,confirm provider (CCE-LTER); underway,2026-06-07
calcofi,zoodb,#31,should-complete,todo,,,,,n/a,n/a,planned,DataZoo online DB API; holoplankton,2026-06-07
calcofi,zooscan,#32,should-complete,todo,,,,,n/a,n/a,planned,ZooScan online DB; imagery counts,2026-06-07
calcofi,phyllosoma,#33,should-complete,ingested,done,done,done,done,n/a,n/a,planned,"EDI knb-lter-cce.188.4; 1,859 tows + 22k stage counts; cruise 88%/grid 98%",2026-06-07
calcofi,prodo,#34,nice-to-have,todo,,,,,n/a,planned,n/a,primary production,2026-06-07
swfsc,cufes,#35,nice-to-have,ingested,done,done,done,done,n/a,#45 planned,n/a,"ERDDAP erdCalCOFIcufes; 49,572 samples + 284k egg counts; cruise 78%/grid 95%",2026-06-07
