rule_key,rule_type,severity,target,description,sql_file,params,scope,requires_types,active,source_query,notes
ctd_sentinel_neg99,sentinel,error,obs,-99 missing-value sentinel served as a real measurement,ctd_sentinel_neg99.sql,,all,,TRUE,,regression guard for the ingest fix; expected count is 0
ctd_obs_orphan_sample,fk,error,obs,obs row references a sample_key absent from sample,ctd_obs_orphan_sample.sql,,all,,TRUE,TR - <name>,ported from the Access TR family (table-linkage tests)
ctd_cast_missing_position,completeness,error,sample,cast with NULL longitude or latitude,ctd_cast_missing_position.sql,,all,,TRUE,,ingest asserts none remain; a hit means that guard regressed
ctd_value_out_of_range,range,warning,obs,measurement outside its declared valid_min/valid_max,ctd_value_out_of_range.sql,,all,,TRUE,TV - <name>,ranges live in measurement_type.csv; generous by design
ctd_qual_unrecognized,lookup,warning,obs,quality code absent from the controlled vocabulary,ctd_qual_unrecognized.sql,,all,,TRUE,,vocabulary recovered from the Access master in Phase 2
ctd_bottle_sensor_offset_temperature,crosscheck,warning,obs,bottle vs sensor temperature offset at matched depth,ctd_bottle_sensor_offset.sql,bottle_type=btl_temperature;sensor_type=temperature_ave;threshold=0.5;units=degC,all,"btl_temperature,temperature_ave",TRUE,,enabled by making btl_* canonical
ctd_bottle_sensor_offset_salinity,crosscheck,warning,obs,bottle vs sensor salinity offset at matched depth,ctd_bottle_sensor_offset.sql,bottle_type=salinity_btl;sensor_type=salinity_ave_corr;threshold=0.05;units=PSS-78,all,"salinity_btl,salinity_ave_corr",TRUE,,Portosal is the reference
ctd_bottle_sensor_offset_oxygen,crosscheck,warning,obs,bottle vs sensor oxygen offset at matched depth,ctd_bottle_sensor_offset.sql,bottle_type=oxygen_btl_ml_l;sensor_type=oxygen_ml_l_ave_sta_corr;threshold=0.3;units=ml/L,all,"oxygen_btl_ml_l,oxygen_ml_l_ave_sta_corr",TRUE,,Winkler is the reference
ctd_density_inversion,profile,warning,obs,sigma-theta decreases with depth,ctd_density_inversion.sql,threshold=0.05,all,sigma_theta_1,TRUE,,CTD-specific; no counterpart in the bottle-era master
ctd_bottom_depth_vs_station,crosscheck,warning,sample,cast bottom depth deviates >500 m from the station average,,,all,,FALSE,TQ - BottomDepth_Vs_AvgBottomDepth,"SUPERSEDED by ctd_cast_position_vs_station. A faithful port needs the ships echosounder bottom depth, which exists in sample_measurement for 33,363 BOTTLE casts but 0 of 14,336 CTD casts. The faithful form belongs in a bottle QC pass."
ctd_climatology_anomaly,climatology,warning,obs,value exceeds |z| against the station x depth x day-of-year climatology,ctd_climatology_anomaly.sql,depth_tol=2.5;z_threshold=5;min_stdev=1e-6,all,temperature_ave,TRUE,Anomalies <name>,harmonic form determined empirically — see libs/build_qc_reference.R header
ctd_sensor1_vs_sensor2,crosscheck,warning,obs,dual-sensor disagreement beyond tolerance,,,all,,FALSE,,TODO Phase 6 — thresholds per property not yet agreed
ctd_cast_deeper_than_seafloor,crosscheck,warning,sample,cast measures below the GEBCO seafloor at its position,ctd_cast_deeper_than_seafloor.sql,tolerance_m=50,all,,TRUE,,"regression guard; currently 2 casts, both ~51 m over — within what GEBCO cell averaging on a slope can explain. severity is warning, not error, because exceeding a coarse bathymetry model is suggestive, not proof. a depth unit error or sign flip would blow this up by orders of magnitude."
ctd_cast_position_vs_station,crosscheck,warning,sample,seafloor at the recorded position disagrees with the station average,ctd_cast_position_vs_station.sql,tolerance_m=500,all,,TRUE,TQ - BottomDepth_Vs_AvgBottomDepth,"adapted: tests POSITION plausibility via GEBCO, not echosounder accuracy. 500 m threshold kept from the Access original"
ctd_spike_temperature,profile,warning,obs_ctd_full,single-scan temperature spike against a locally smooth profile,ctd_spike.sql,measurement_type=temperature_ave;spike_threshold=0.5;neighbour_tol=0.5,cruise,,TRUE,,"neighbour-agreement criterion; naive test flagged 92 on 2023-11-33P4, this keeps 19"
ctd_spike_salinity,profile,warning,obs_ctd_full,single-scan salinity spike against a locally smooth profile,ctd_spike.sql,measurement_type=salinity_ave_corr;spike_threshold=0.1;neighbour_tol=0.1,cruise,,TRUE,,
ctd_pressure_monotonic,profile,warning,obs_ctd_full,depth reverses within a cast direction (loop edit),ctd_pressure_monotonic.sql,min_reversal_m=1,cruise,,TRUE,,"orders by datetime, NOT obs_id — obs_id is not scan order (~50% of consecutive pairs decrease)"
ctd_updown_disagreement,crosscheck,warning,obs_ctd_full,down- and upcast disagree at the same depth,ctd_updown_disagreement.sql,measurement_type=temperature_ave;threshold=1.0,cruise,,TRUE,,"invisible in ctd_thin, which keeps one direction per physical cast"
ctd_value_outside_cast_span,range,warning,obs,measurement outside the min/max the processor recorded for its own cast,,,all,,FALSE,,"PARKED pending question calcofi_ctd-cast_15, now `proposed`: we surveyed the source files on 2026-08-02 and recommend ingesting them. Every cruise ships YYMM_span_###-###.csv giving per-CAST min/max for every variable as recorded by BtlVsCTD - 136 files, 16,254 rows, but 70 distinct headers (61-79 columns) because the column set follows each cruise's sensor suite, so it needs a long (cast, variable, min, max) melt rather than a fixed schema. That is a far stronger range check than ctd_value_out_of_range, whose valid_min/valid_max are ours and generous by design: a value outside the span its own processor recorded means the released value is not the value that was processed. It is also the only NON-CIRCULAR version of this check - recomputing the span from the values we published cannot disagree with itself, which is why the ctd-qaqc app shows a recomputed span as review context only and labels it as such."
ctd_cast_correction_residual_oxygen,crosscheck,warning,obs,station-corrected oxygen does not reproduce the bottle oxygen it was fitted to (per cast),ctd_cast_correction_residual.sql,bottle_type=oxygen_btl_ml_l;sensor_type=oxygen_ml_l_ave_sta_corr;depth_min=0;min_n=3;threshold=0.1;units=ml/L,all,"oxygen_btl_ml_l,oxygen_ml_l_ave_sta_corr",TRUE,,"threshold is NOT a percentile pick: the per-cast mean residual is zeroed by the _StaCorr fit, and 83.1% of 5,330 casts sit within 1e-4 ml/L of zero. 0.1 lands in the gap above that spike (4.3% of casts) and is 5-10x Winkler reproducibility. residual_sd is reported as the measurement_prec candidate but acted on nowhere - see calcofi_ctd-cast_15."
ctd_cast_correction_residual_salinity,crosscheck,warning,obs,corrected salinity does not reproduce the below-350 m bottle salinity it was offset from (per cast),ctd_cast_correction_residual.sql,bottle_type=salinity_btl;sensor_type=salinity_ave_corr;depth_min=350;min_n=3;threshold=0.02;units=PSS-78,all,"salinity_btl,salinity_ave_corr",TRUE,,"depth_min=350 because the source derives the salinity offset from bottle salinities BELOW 350 m and applies it at all depths - the check has to look where the fit looked. Observed over 4,182 casts: p50 0.0021, p95 0.0148. 0.02 flags 3.3% and is ~20x a Portosal's resolution. Most casts have exactly 3 deep bottles, so min_n=3 is the floor, not a preference."
ctd_value_outside_type_depth_range,range,warning,obs_ctd_full,value recorded outside the depth range over which its measurement type is defined,ctd_value_outside_type_depth_range.sql,,cruise,,TRUE,,"Registry-driven, names no type. Only est_chlorophyll_a_* declares a range (0-200 m, per CTD-CSV-Format.pdf). Reports ZERO today and that is the point: measured 2026-08-02, both EstChl types max out at exactly 200.0 m with 0 values below, so this is a standing regression guard like ctd_sentinel_neg99. est_nitrate_* is 60% below 200 m to 3,498 m and correctly declares no range. Needs measurement_type carrying valid_depth_min_m/max_m — a registry or release from v2026.08 on; older ones ERROR rather than pass."
