label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q01,calcofi_bottle_01,"S_qual holds 253 distinct values with a dense 256-271 cluster, where every other quality column has 3-10. Is this a bitmask (256 + low nibble)?","Harvested from the Access hydrographic master (Bottle_Q, 909,076 rows). Until resolved, salinity quality cannot be interpreted and any salinity QC rule would be built on sand. See metadata/calcofi/hydro-master/questions.csv hydro_master_02b.",open,blocker,,,,,CalCOFI data team (SIO),bottle_measurement,measurement_qual
Q02,calcofi_bottle_02,"Only quality codes 6, 8 and 9 are documented, but T_qual uses 0-7 and P_qual uses 3/5/7. What do the undocumented codes mean?","metadata/measurement_qual.csv documents 3 codes (6 = data OK but taken from CTD, 8 = suspect, 9 = missing) plus 7 observed-but-undocumented single-digit codes; qual_code_observed.csv holds 279 column/code pairs, 248 with code > 9. measurement_qual is currently an uninterpreted pass-through.",open,blocker,,,,,CalCOFI data team (SIO),bottle_measurement,measurement_qual
Q03,calcofi_bottle_03,"In 2014 only 3.2% of ammonium values are zero, against 41% in 2013 and 53% in 2015. Were 2014 values not zeroed at the detection limit?","Ammonium is left-censored: code 4 = 'value zeroed due to value below detection limit'. The 2014 discontinuity appears in BOTH the bottle table and the CTD-embedded copy, so it is a real feature of that year's reporting rather than a product difference. Any trend fitted through 2014 is distorted. See calcofi.io/workflows/explore_ctd-cast.html",open,high,,,,,CalCOFI data team (SIO),bottle_measurement,measurement_value
Q04,calcofi_bottle_04,"24,579 ammonium values are exactly zero but carry no quality flag, all before 2014. Should the below-detection flag be backfilled?","The qual=4 flag is essentially unused before 2013 (0-0.9%) yet exact zeros already run 40-71% in 2008-2012, converging with the flag only after 2015. Filtering on the flag therefore removes ~0% of the early record and ~75% of the late record, manufacturing a trend from a bookkeeping change. Until backfilled, the portable censoring test is measurement_value == 0, not the flag.",open,high,,,,,CalCOFI data team (SIO),bottle_measurement,measurement_qual
Q07,calcofi_bottle_07,"Please confirm the plausible-value bounds declared for calcofi_bottle, and advise on the 15 measurement type(s) whose published values fall outside a range we believe is physically possible.","metadata/measurement_type.csv now carries valid_min/valid_max for this dataset's types; calcofi4db::check_measurement_bounds() enforces them at ingest and release_database.qmd re-checks before freezing. Bounds are used ONLY to reject the impossible, never to police unusual-but-real values, so they are deliberately generous. Declared: r_depth 0..11000; r_dynamic_height -10..10; salinity 0..45; phosphate 0..10; silicate 0..300; nitrite 0..10; r_ammonium 0..100; ammonia 0..100; light_pct 0..100; alkalinity_rep1 0..5000; dic_rep1 0..5000. Still unresolved — temperature: observed 1.440..99.000, 2 of 875,167 value(s) outside the proposed -2..40; r_temperature: observed 0.000..40.040, 1 of 840,296 value(s) outside the proposed -2..40; r_salinity_sva: observed 0.400..5054.000, 4 of 833,624 value(s) outside the proposed -1000..1000; sigma_theta: observed 17.000..250.800, 6 of 833,572 value(s) outside the proposed 15..35; oxygen_ml_l: observed -200.200..11.130, 5 of 719,244 value(s) outside the proposed 0..15; oxygen_saturation: observed -3605.000..214.100, 9 of 684,486 value(s) outside the proposed 0..200; oxygen_umol_kg: observed -8741.000..485.700, 5 of 684,438 value(s) outside the proposed 0..700; r_oxygen_umol_kg: observed -8741.000..485.700, 5 of 684,438 value(s) outside the proposed 0..700; nitrate: observed -0.400..95.000, 5 of 363,408 value(s) outside the proposed 0..100; chlorophyll_a: observed -0.001..66.110, 4 of 245,655 value(s) outside the proposed 0..100; phaeopigment: observed -3.890..65.300, 120 of 245,654 value(s) (0.049% of the type) outside the proposed 0..100; c14_mean: observed -0.220..948.300, 22 of 23,760 value(s) (0.093% of the type) outside the proposed 0..5000; c14_dark: observed -0.010..9.821, 4 of 23,759 value(s) (0.017% of the type) outside the proposed 0..5000; c14_rep1: observed -0.240..584.500, 34 of 15,542 value(s) (0.22% of the type) outside the proposed 0..5000; c14_rep2: observed -0.200..948.300, 27 of 15,524 value(s) (0.17% of the type) outside the proposed 0..5000.",proposed,high,"We have NOT applied the proposed bound to the unresolved type(s): doing so before you confirm would delete published observations. Please tell us whether those values are sentinels, unit/sign errors, or real; we will then declare the bound and drop what it excludes.",,2026-08-08,,,obs,measurement_value
Q05,calcofi_bottle_05,Confirm the intended relationship between the QC'd ammonia and the pre-QC r_ammonium series.,"Both are registered canonical and both report near-identical below-detection fractions by year (e.g. 53.4% vs 53.4% in 2015), so the QC step appears not to change the censoring. Knowing whether r_ammonium is meant to be published at all would let us drop or document it. Update 2026-09-01 (Rasmus Swalethorp, item a of the six 2026-08-21 questions): the r_* series are pre-QC values interpolated to standard depths and must never be used as an input for further interpolation. metadata/measurement_type.csv now records this as `derivation` on r_ammonium and the other five r_* types, and flips `is_canonical` to FALSE -- so it is published, but no longer selected into the default/canonical obs by release_database.qmd. Whether it is meant to be published AT ALL was answered implicitly: yes, as a non-canonical pre-QC series.",open,normal,,,,,CalCOFI data team (SIO),bottle_measurement,measurement_type
Q06,calcofi_bottle_06,"Which cast/bottle records were withdrawn after the published extract was generated, and should they be treated as retracted?","Reconciliation against the Access master found 85 bottles deleted from the master after the export (cruises 202105/202111/202208/202211) and 93 mid-import rows for 202304. None leaked into the release, but a standing rule would make future extracts self-checking.",open,normal,,,,,CalCOFI data team (SIO),bottle,bottle_id
Q08,calcofi_bottle_08,"Some observations in this dataset resolve no CalCOFI grid cell. Are these positions genuinely off-grid (transit, historical stations outside the modern pattern), a coarser spatial notion with no point position, or a coordinate error?","97,985 of 11,135,600 obs rows (0.88%) resolve no CalCOFI grid cell;      0 of those carry no latitude/longitude at all. These are now RELEASED rather than dropped. Are they off-grid positions (transit, historical stations), a coarser spatial notion (region-pooled), or a coordinate error?",open,normal,"Until v2026.08.10 these rows were DROPPED from `obs` entirely by a `WHERE grid_key IS NOT NULL` filter, while their sampling events stayed in `sample` — so the dataset silently lost them. They are now released with a NULL grid_key. We are not proposing to re-exclude them; we need to know which of the three cases applies so the metadata can say so. A coordinate error is the one that matters most: the sign-flipped Longitude_W on five CalCOFI cruises was invisible precisely because being off-grid removed the rows without a trace.",,,,,obs,grid_key
Q09,calcofi_bottle_09,"Do the pre-QC R_* columns (R_Oxy_umol/Kg, R_Temp, R_Sal, R_Depth, R_DynHt) share their QC'd counterparts' quality codes (O_qual, T_qual, S_qual, P_qual)?","oxygen_umol_kg (Oxy_umol/Kg) carried no quality code in the integrated database until 2026-08-24, so a value with O_qual = 8 (suspect; e.g. cast 19-5508BD-HY-246-2012-07901560, Btl_Cnt 198640, 1144 m, 2.18 ml/L between neighbours at 0.95 and 1.00) plotted as good in every app. It now carries O_qual, as O2ml_L and O2Sat do. The R_* forms still carry none: O_qual code 6 (""data OK but taken from CTD"") describes a substitution made DURING QC, so copying it onto the pre-QC value would mislabel ~36k rows. P_qual is read as the pressure/depth code by column position (it sits between S_qual and O_qual, mirroring Depthm/T_degC/Salnty/O2ml_L) while hydro_master_04 reads it as phosphate.",answered,normal,Leave R_* unflagged (they are the pre-QC record; consumers wanting QC apply the non-R_ type) and treat P_qual as the depth/pressure code (PO4q is the phosphate code). Confirm and we will document both in metadata/measurement_qual.csv.,"Confirmed by Rasmus Swalethorp (SIO), 2026-09-01: the pre-QC R_* columns should NOT inherit quality codes from their QC'd counterparts. They are interpolated to standard depths (in decodr), so a flagged depth should already have been skipped by that interpolation; a cast whose T_degC readings are all bad should carry no R_Temp at all. Rasmus: ""when we do any kinds of data interpolations ... we should not use already interpolated data points from the bottle database"" -- R_* must never be used as an input for further interpolation. metadata/measurement_type.csv now records this as `derivation` on the six r_* types and flips `is_canonical` to FALSE (Q10 of the umbrella 2026-09-03 plan). The other half of this question -- whether P_qual is the pressure/depth code or the phosphate one -- is unresolved and is split out into calcofi_bottle_10 (Q10) for Ben G.",2026-08-24,2026-09-01,Rasmus Swalethorp,bottle,O_qual;R_Oxy_umol/Kg
Q10,calcofi_bottle_10,Can the CalCOFI Bottle Database be licensed CC-BY-4.0?,license is empty; calcofi.org states no license anywhere on the bottle database page. CC-BY-4.0 is proposed as the standard license for calcofi.org-hosted program data. Checked 2026-09-03.,proposed,normal,CC-BY-4.0,,,,Rasmus Swalethorp,dataset,license
