label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q02,swfsc_ichthyo_02,"790 egg-stage records use stages 12-15, but the Moser & Ahlstrom (1985) scale the ingest encodes runs 1-11. Are these a different staging scheme, or data entry errors?","data/flagged/invalid_egg_stages.csv: 790 rows across 5 species_id values, 2,029 eggs, stages 12/13/14/15 from eggstage.csv. Currently excluded from obs_attribute. If a later scheme extended the scale we should encode it rather than drop the records.",open,high,,,2026-09-04,,SWFSC (E. Weber),obs_attribute,bin_value
Q03,swfsc_ichthyo_03,"Should net-level effort (volume_sampled, std_haul_factor, prop_sorted) ever be missing, and how should abundance be standardized when it is?","std_haul_factor and volume_sampled are what convert tally to abundance per 10 m2 / 100 m3. Net-type-aware CPUE turned out to matter (manta tows were ~50x low before the fix in db-viz-hex), so the effort completeness rule should be stated by the provider rather than inferred.",open,high,,,2026-09-04,,SWFSC (E. Weber),sample_measurement,measurement_value
Q04,swfsc_ichthyo_04,"Are duplicate occurrence keys (same net + taxon + life_stage appearing more than once) intentional replicate sorts, or duplicates to be collapsed?",The netCDF publish reports these as an anomaly and carries both rows through with distinct obs_id rather than choosing. A provider rule would let the ingest collapse or keep them deliberately.,open,normal,,,2026-09-04,,SWFSC (E. Weber),obs,obs_id
Q05,swfsc_ichthyo_05,Is there a documented crosswalk from species_id to WoRMS AphiaID we should use instead of name-based matching?,"Taxon resolution currently matches on scientific name via WoRMS, with metadata/measurement_taxon.csv + taxon_override.csv handling coarse/composite taxa. A provider-supplied AphiaID column would remove the name-matching step entirely (a name-string match already broke once when taxonRank got populated).",open,normal,,,2026-09-04,,SWFSC (E. Weber),dataset_taxon,taxon_key
Q06,swfsc_ichthyo_06,Please confirm the plausible-value bounds declared for swfsc_ichthyo's 1 measurement type(s).,"metadata/measurement_type.csv now carries valid_min/valid_max for this dataset's types; calcofi4db::check_measurement_bounds() enforces them at ingest and release_database.qmd re-checks before freezing. Bounds are used ONLY to reject the impossible, never to police unusual-but-real values, so they are deliberately generous. Declared: abundance 0..(no max).",proposed,normal,Bounds declared as listed and enforced; no published value violates them. Confirm or correct the limits.,,2026-08-08,,,obs,measurement_value
Q07,swfsc_ichthyo_07,"Some observations in this dataset resolve no CalCOFI grid cell. Are these positions genuinely off-grid (transit, historical stations outside the modern pattern), a coarser spatial notion with no point position, or a coordinate error?","22,964 of    482,250 obs rows (4.76%) resolve no CalCOFI grid cell;      0 of those carry no latitude/longitude at all. These are now RELEASED rather than dropped. Are they off-grid positions (transit, historical stations), a coarser spatial notion (region-pooled), or a coordinate error?",open,normal,"Until v2026.08.10 these rows were DROPPED from `obs` entirely by a `WHERE grid_key IS NOT NULL` filter, while their sampling events stayed in `sample` — so the dataset silently lost them. They are now released with a NULL grid_key. We are not proposing to re-exclude them; we need to know which of the three cases applies so the metadata can say so. A coordinate error is the one that matters most: the sign-flipped Longitude_W on five CalCOFI cruises was invisible precisely because being off-grid removed the rows without a trace.",,2026-09-04,,,obs,grid_key
Q01,swfsc_ichthyo_01,RESOLVED (2026-07-30) - no action needed. Retained as a regression note.,"Raised from data/flagged/orphan_species.csv (17 species_id values, 316,316 specimens), which turned out to be a STALE artifact last written 2026-04-08 (release v2026.04.08), before the unified-taxon work. The ids are now resolved and the specimens ARE in the release: species_id 3023 = Sebastes crocotulus (worms:126175), 18,146 obs rows / 235,178 specimens; 260/259/262 are Lampanyctus spp., all present. validate_dataset() only writes the sidecar when n_flagged > 0 (R/validate.R:291) and the 2026-07-30 run left it untouched while rewriting its sibling, so the FK check now finds zero orphans. Do NOT map 3023 to a coarse catch-all - that would remap 235,178 correctly-identified specimens.",answered,low,,"Already fixed upstream; the flagged sidecar was stale, not the data.",2026-09-04,2026-07-30,SWFSC (E. Weber),obs,taxon_key
Q08,swfsc_ichthyo_08,"Every ichthyo tow/net sample in the release has depth_max_m = NULL, so a net tow cannot be drawn as the integrated span it is (0 to ~210 m for a standard oblique). The standard haul factor standardizes over tow depth, so the database knows it: which field carries the net's maximum tow depth in the export we ingest (tow.max_depth / net.tow_depth?), and is it wire-out or true depth?","CalCOFI Explorer plan D5 (2026-08-28): a bottle is a point, a CTD a profile, a net tow an integrated span; the water-column strip draws all three, and today the ichthyo span is missing from the release sample table (the ingest writes depth_min_m = 0, depth_max_m = NULL for tow and net).",open,high,,,2026-09-04,,,sample,depth_max_m
Q09,swfsc_ichthyo_09,"Is a tow with no row for a taxon a zero catch (sorted, none found) or an unsorted tow? The larvae/eggs tables are positive-only (0 zero-valued rows of 482,250 obs in release v2026.08.25), so any density index has to be zero-filled from the tow table. Two 1982 cruises break that assumption: 1982-02-31JD (568 tows, 3 taxa) and 1982-12-31JD (40 tows, 2 taxa) look sorted for anchovy only, and 6,907 of 61,104 tows have no row of any taxon. Is there a per-tow or per-cruise 'taxa sorted' indicator (or a sort-level code) we should ingest so partially sorted tows are not counted as zeros?","Found 2026-08-30 in the CalCOFI Explorer's Pacific sardine larvae series: the 'mean per 10 m2' was the mean over positive tows only (1,192 in 2001 vs 197 zero-filled), and 1982 / 2020 (surveyed, no sardine row) drew as gaps identical to 1970-71-73-76 (no survey). A tow's absence from the larvae table is the only signal of a zero, so a partially sorted cruise reads as zero catch of every unsorted taxon.",proposed,normal,"Treat absence as zero for tows that have >= 1 row of any taxon (the Explorer's slice_bio.sql zero-fills per (dataset, tow, life stage) for datasets whose release rows carry no zeros); tows with no row at all are excluded from the denominator; the two 1982 cruises are counted as zeros until a sorted-taxa indicator exists.",,2026-09-04,,,obs,value
Q10,swfsc_ichthyo_10,Can citation_main be updated to include a year and a resolvable URL/DOI?,"citation_main (""NOAA Fisheries SWFSC. CalCOFI Ichthyoplankton Database."") has no year, DOI, or URL. The data we ingest is Ed Weber's CSV export dated 2025-03-24. Checked 2026-09-03.",proposed,normal,"NOAA Fisheries, Southwest Fisheries Science Center (2025). CalCOFI Ichthyoplankton Database [data export 2025-03-24]. https://calcofi.org/data/marine-ecosystem-data/fish-eggs-larvae/",,2026-09-04,,Ed Weber,dataset,citation_main
Q11,swfsc_ichthyo_11,"Can the license for the SWFSC Ichthyoplankton database be confirmed as US Government work (public domain, 17 U.S.C. § 105)?","license is empty; no license is stated on the calcofi.org page or by SWFSC directly. As NOAA Fisheries government work, US-PD is the presumptive default pending confirmation. Checked 2026-09-03. The CalOOS working sheet separately labels the NOAA CoastWatch mirror erdCalCOFIlrvcnt (and its sibling erdCalCOFI* ichthyoplankton tables) ""Public domain (CC0) - Free use and reuse"", but that dataset's own ERDDAP `.das` `license` global carries only the generic ERDDAP disclaimer (https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIlrvcnt.das, checked 2026-09-05) -- CC0 is not confirmed by the source. Both claims (US-PD proposed above, CC0 in the CalOOS sheet) are recorded here for the provider to reconcile.",proposed,normal,US-PD (17 U.S.C. § 105 government work),,2026-09-04,,Ed Weber,dataset,license
Q12,swfsc_ichthyo_12,Can Ed Weber be recorded as the PI/contact for the SWFSC Ichthyoplankton dataset?,pi_names is empty; no PI is stated on the calcofi.org page. Ed Weber is SWFSC's contact for this dataset per the 2026-09-02 DMP thread. Checked 2026-09-03.,proposed,normal,Ed Weber,,2026-09-04,,Ed Weber,dataset,pi_names
Q13,swfsc_ichthyo_13,"Species code 788 Syngnathus leptorhynchus (Bay pipefish) carries WoRMS AphiaID 275218 in the species list, which is Syngnathus californiensis (Kelp pipefish, code 792) — the two codes resolve to one taxon_key. Is 788 meant to be S. leptorhynchus (AphiaID 275219) so its larvae are not merged with the kelp pipefish, or are the two not separated in the sorting? Twelve other species_id pairs share one AphiaID at v2026.08.25 (mostly a genus-level code beside a species-level one, e.g. 683 Sebastes and 3023 Sebastes crocotulus both on 126175); please confirm which are deliberate.",Found by the taxon crosswalk Phase 1 measurement (calcofi4db 3.29.0 apply_taxon_common tie-break): 13 swfsc_ichthyo taxon_keys are claimed by more than one species_id in dataset_taxon. For 788/792 the common name of worms:275218 flips from Bay pipefish to Kelp pipefish under the new order. The species list is the SWFSC species table (worms_id column).,open,normal,,,2026-09-03,,Ben Best,species,worms_id
Q14,swfsc_ichthyo_14,"shiplookup.shipnodc is blank for BOLD HORIZON (BH). We patch it to 39C2 on load, but until 2026-09 the patch ran after the cruise key was minted, so the July 2019 Bold Horizon cruise was released as cruise_key '2019-07-' with an empty NODC segment (2,255 rows across five datasets). Can 39C2 be added to shiplookup at source, and is 39C2 the code NOAA uses for Bold Horizon?",calcofi4db::apply_data_corrections() correction 1; ingest_swfsc_ichthyo.qmd chunk order fixed and create_cruise_key() now refuses a blank NODC.,proposed,normal,Fixed on our side (correction precedes the key; the key builder refuses an empty NODC); adding the code at source retires the patch.,,2026-09-03,,Ben Best,ship,ship_nodc
