id,question,context,status,priority,answer,asked_date,answered_date,who,related_table,related_field
hydro_master_01,Which of the 146 unmatched Access fields should be promoted to canonical names in metadata/field_dictionary.csv?,"accdb_field_crosswalk.csv maps every documented Access field against the canonical dictionary (by name, alias, or measurement_type _source_column). Unmatched fields are either genuinely new concepts worth adopting or 1949-era source artifacts to leave behind. field_dictionary.csv is prescriptive, so nothing was auto-merged.",open,high,,2026-07-25,,CalCOFI data manager,field_dictionary,
hydro_master_02,"What do the undocumented single-digit Bottle_Q quality codes mean? Observed: 2 (n=2,030), 3 (n=  529), 7 (n=  464), 0 (n=  170), 5 (n=  138), 1 (n=  118), 4 (n=   54).","The source documents only 6/8/9 ('data OK but taken from CTD' / 'value is suspect' / 'missing data'), but T_qual uses 0-7 and P_qual uses 3/5/7 as well. measurement_qual is currently passed through uninterpreted by the pipeline, so these need meanings before any value-level QC can trust the flag. Full per-column counts are in qual_code_observed.csv.",open,blocker,,2026-07-25,,CalCOFI data manager,Bottle_Q,T_qual;S_qual;P_qual;O_qual;SThtaq;O2Satq
hydro_master_02b,"S_qual holds 253 distinct values, most outside any plausible flag vocabulary (a dense 256-271 cluster, plus teens and 30s) across 880 rows. Is this a bitmask, or a corrupted column?","Every other quality column is well behaved: O_qual has exactly 3 distinct values, SThtaq and O2Satq have 4, T_qual 10. S_qual having 253 is a different kind of thing. The 256-271 clustering (256 + a low nibble) looks like bit 8 of a bitmask being set, which would mean S_qual is not a single code at all. Until this is resolved, salinity quality cannot be interpreted and any ported salinity QC rule would be built on sand.",open,blocker,,2026-07-25,,CalCOFI data manager,Bottle_Q,S_qual
hydro_master_03,"Do T_prec / S_prec record decimal places of the reported value, and what are the out-of-range values?","Modal values are small integers (1-5), consistent with decimal places, but T_prec also has 33/34 and S_prec has 102/103. Distinct values: T_prec = 1,2,3,32,33,34,9; S_prec = 1,10,100,101,102,103,104,105,106,107,108,109,11,110,111,112,113,114,116,118,119,12,127,13,130,135,14,146,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99.",open,medium,,2026-07-25,,CalCOFI data manager,Bottle_Q,T_prec;S_prec
hydro_master_04,"P_qual = 9 ('missing data') on 673,783 of 909,076 bottles (74%). Is phosphate genuinely absent for those, or is 9 an unset default?","This decides whether a released null means 'not measured' or 'measured and rejected', which changes every downstream completeness statistic. NULL (no flag) is the modal state for the other quality columns, so a literal 9 may carry different intent.",open,high,,2026-07-25,,CalCOFI data manager,Bottle_Q,P_qual
hydro_master_05,"Should a NULL quality flag be read as 'good', or as 'never assessed'?","NULL is the modal value for T_qual, S_qual, O_qual, SThtaq and O2Satq (700k-885k rows each). The documented vocabulary has no 'good' code, so 'good' is currently implicit in the absence of a flag. The pipeline needs this stated before it can interpret measurement_qual rather than pass it through.",open,high,,2026-07-25,,CalCOFI data manager,Bottle_Q,
hydro_master_06,"Confirm the mapping from the 35 0-Measurements method-eras to canonical measurement_type (17 auto-linked, 18 unresolved).","0-Measurements records instrument/method, stated accuracy, and start/end dates per measurement — provenance the repo has nowhere else. It is one-to-many (Temperature has 6 eras, e.g. reversing thermometer through 1993-04-15 then CTD thermistor from 1993-08-11), so it is kept as its own registry rather than columns on measurement_type.csv. Auto-linking is by name text only and needs domain confirmation (e.g. 'Sil' -> silicate).",open,high,,2026-07-25,,CalCOFI data manager,measurement_type,
hydro_master_07,"Do the Sta_Code categories (ST, SCO, NRO, OCO, IMX, NST, MBR) still carry meaning in the released site model?","Access uses Sta_Code to separate standard CalCOFI stations from SCCOOS, IMECOCAL, MBARI, not-regularly-occupied and non-standard stations, and the TR/TQ test queries filter on it. The release's site/grid model has no equivalent flag, so ported coverage checks have nothing to filter on.",open,medium,,2026-07-25,,CalCOFI data manager,site,Sta_Code
hydro_master_08,"Which 0-Work Done corrections were applied only inside Access, and so are missing from the published CSVs the pipeline ingests?","The 280-row change log records dated, initialled repairs (cruise renumbering, duplicate interpolated levels, station-date fixes). If any were applied to the Access master but never propagated to the distributed bottle CSVs, the release is carrying errors this database already fixed. Phase 3 reconciliation will surface candidates; this asks which are known.",open,high,,2026-07-25,,CalCOFI data manager,change_log,
hydro_master_09,"TQ - StationNameChecker compares Rpt_Line > ""76.6"" as a STRING — port the bug or the intent?","Access compares these as text, so line 100 sorts below line 76.6 and is excluded from the check. Porting faithfully reproduces a 20-year blind spot; porting the intent (numeric comparison) changes which rows the check returns and may surface a backlog of previously invisible failures.",open,high,,2026-07-25,,CalCOFI data manager,Cast,Rpt_Line
hydro_master_10,The QC-DIC_* checks are hardcoded to single cruises (e.g. Cruise = 201507). What is the intended scope when generalized?,"Five QC queries filter to one cruise, suggesting they were ad-hoc investigations rather than standing checks. Parameterizing them is trivial; knowing whether they should run over all cruises, or only where DIC exists, is not.",open,medium,,2026-07-25,,CalCOFI data manager,DICs,
hydro_master_11,Please supply the SQL for 'Anomalies ISL 0 IM' — Jackcess cannot extract it.,"It is the only one of 155 queries that fails extraction (IllegalStateException: Inconsistent join types for Cast and Bottle), because it mixes inner and outer joins on the same table pair. Anyone with Access can open it in SQL View and paste the text; everything else was recovered.",open,medium,,2026-07-25,,CalCOFI data manager,Cast,
hydro_master_12,What fitting procedure and reference period produced the HarmCoeff* harmonic coefficients?,"HarmCoeffBottle/Chla/Sigma/LogZoo give mean, amplitude, frequency, phase and stdev per station x depth — an expected-value climatology, and the basis for the anomaly and outlier checks. Phase 6 plans to recompute them from the release and assert agreement, which needs the original period, harmonics fitted, and any QC screening applied to the input.",open,medium,,2026-07-25,,CalCOFI data manager,HarmCoeffBottle,
