label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q01,cdfw_dungeness-crab_01,"May these data be published, and how should they be cited?","Blocker for release. The sorting was commissioned by CDFW and performed at SIO's Pelagic Invertebrate Collection by CDFW science aides (E. Jones 2012, A. Klemmedson 2015 — she signs the Notes sheet 'California Dept. Fish & Wildlife', which supports provider = cdfw). Still needed: permission to publish to a world-readable bucket, a licence, a preferred citation, and confirmation that CDFW rather than SIO is the citable custodian. Until answered, this ingest is held out of the release and its GCS uploads are disabled.",answered,blocker,,"ANSWERED 2026-08-13. CDFW (Christy Juhasz) via Erin Satterthwaite, who met with her: the data may be published. Licence CC BY 4.0. Laura Rogers-Bennett is to be identified as the primary data provider in the citation, with the sorters Emily Jones and Amanda Klemmedson also credited. CDFW is the current citable data custodian - the work was commissioned under CFG in 2012, but CDFW is the current agency name and the one a reader can act on - with the data published through and associated with CalCOFI / SIO. Applied: license and citation_main are in the ingest front-matter, `in_release: false` is removed, publish_to_gcs is TRUE, and the staged measurement types moved into the shared registry. Separately, Erin is pursuing publication through the CNRA data portal (https://data.cnra.ca.gov/dataset) so there is a citable repository copy to pull from; that is additive and gates nothing here.",2026-09-04,2026-08-13,Christy Juhasz (CDFW) via Erin Satterthwaite,dataset,
Q02,cdfw_dungeness-crab_02,Which of the historic 'Cancer magister' identifications should be treated as valid?,"The 2012 correspondence states that pre-2012 samples labelled Cancer magister by Reilly are probably mislabelled, and 3 of the 5 specimens sent for verification were judged probable C. productus. This determines whether the sorting log's historic records can support a pre-2008 time series at all. Note the removed megalopae are archived in vials at the SIO Pelagic Invertebrate Collection, so they could be re-examined.",answered,high,,"ANSWERED 2026-08-13 via Erin Satterthwaite: ""Keep as is - not sure we can do much"". So the historic Reilly-era 'Cancer magister' identifications stay as recorded, and the 2012 correspondence's caveat stands as documented uncertainty rather than a correction we apply. The vials are archived at SIO PIC, so re-examination remains possible if anyone wants to build a long time series on them - but nothing in this ingest re-labels or drops them.",2026-09-04,2026-08-13,Christy Juhasz (CDFW) via Erin Satterthwaite,dungeness_specimen,is_magister
Q03,cdfw_dungeness-crab_03,"Are the repeated rows in the sorting log one row per archived jar, or duplicate entries?","The unsorted sheet has 1795 rows but only 1660 distinct ones, and 135 repeated (expedition, line, station, date, start time) combinations; the sorted sheet has 5. If these are per-jar, a jar identifier would make the inventory countable. (For the 2015 time series the analogous repeats are removal vials — see Q10 — but that need not apply to the 2012 log.)",open,high,,,2026-09-04,,C. Juhasz (CDFW),dungeness_sorting_log,
Q04,cdfw_dungeness-crab_04,What time zone are the collection times in?,"Neither workbook states a time zone. CalCOFI cruise logs are usually local (PST/PDT). Times are carried through as given and stamped into datetime_start_utc pending confirmation. Independent evidence: of the 306 samples matched to a CalCOFI station occupation, all agree to within 1 day but only 201 agree to the same calendar day, which is consistent with a local-vs-UTC offset.",open,high,,,2026-09-04,,C. Juhasz (CDFW),dungeness_sample,datetime_start_utc
Q05,cdfw_dungeness-crab_05,Is 'subsample' the right sample_type for a lab-examined aliquot of an archived net catch?,"Internal modelling question, not one for CDFW. The core sample dimension's existing types are bottle/cast/net/region_pool/site/tow/transect/underway. This dataset's grain is a lab subsample of an archived CalBOBL catch — finer than the tow, since 3 station occupations were examined twice as separate removal vials — so no existing value fits and this ingest introduces 'subsample'. Also confirms the related choice to set parent_sample_key to the matched swfsc_ichthyo site occupation, a cross-dataset edge in the adjacency list that is what makes these larvae joinable to CTD/bottle environment.",open,high,,,2026-09-04,,internal (CalCOFI data team),sample,sample_type
Q06,cdfw_dungeness-crab_06,"Is the whole 2008-2014 time series (310 samples) intended as one continuous survey, and are the 13 per-cruise sheets superseded by 'Compiled Cruises'?","'Compiled Cruises' has 310 rows and the Notes sheet confirms ""13 total cruises/310 total samples sorted"", so this ingest treats it as authoritative. The 13 per-cruise sheets total 313 and hold the Dungeness count as prose ('0 Metacarcinus magister megalopae removed') rather than a number. Remaining ask: confirm which 3 per-cruise rows were dropped in compiling, and why.",open,normal,,,2026-09-04,,C. Juhasz (CDFW); A. Klemmedson if reachable,dungeness_sample,
Q07,cdfw_dungeness-crab_07,"Should the free-text identification notes be parsed into structured taxon/stage/length records, given they are flagged as lower-confidence?","The Description cells hold real data — e.g. 'Zoea III (2) 2.4mm, 2.6mm; Zoea IV (1) 2.8mm' and 'Hippidae (4); Hippidae pre-zoea (3)' — naming families (Majidae, Hippidae, Pinnotheridae, Grapsidae), zoeal stages and lengths. But the Notes sheet cautions that ""Data beyond Dungeness crab megalopae should be used more as a guideline... there is potential for error in some of the identifications"", and that 1304SH larvae were left at Brachyura because it was the first cruise sorted. Kept as free text for now; parsing would give the appearance of more precision than the author claims.",open,normal,,,2026-09-04,,A. Klemmedson if reachable,dungeness_measurement,taxa_description
Q08,cdfw_dungeness-crab_08,Is one longitude in the sorting log a sign error?,"One unsorted-sheet row records longitude +138.483; every other row is negative (-121.98 to -164.08). It is set to NULL here rather than silently negated. The affected row is one of the 1,795 unsorted log rows, so it is not published in this dataset regardless. UPDATE 2026-09-03: the UCSD Library RDC deposit README (2026-08-27) reportedly says the sign was corrected there. Reconcile (negate this value, close Q08) once the deposit zips are in Drive at cdfw/dungeness-crab/deposit/ — Ben is downloading them before 2026-09-26; do not block this ingest or the release on it.",answered,normal,,"ANSWERED 2026-09-04 (UCSD Library deposit README, calcofi_dungeness_crab_sorting_log_1949-2012, prepared by Betty Huang): the one positive longitude (138.483, Expedition TROLL CRUISE, 1955-04-13) is a sign error and is corrected to -138.483 in the deposited dungeness_megalopae_samples_unsorted_2012.csv. The ingest adopts the same correction (it nulled the value before); no effect on the release, since that jar is in the unsorted set and was never examined.",2026-09-04,2026-09-04,Betty Huang (deposit README),dungeness_sorting_log,longitude
Q09,cdfw_dungeness-crab_09,Do the 4 samples that did not match a CalCOFI station occupation have known positions?,"306 of 310 samples match swfsc_ichthyo on (cruise, line/station, order_occ); 4 do not, and their line/station/order_occ combinations do not appear on the stated cruise. They have no coordinates as a result.",open,normal,,,2026-09-04,,C. Juhasz (CDFW),dungeness_sample,position_source
Q10,cdfw_dungeness-crab_10,Confirm the 3 repeated station occupations in 'Compiled Cruises' are separate removal vials from one sample.,"(cruise, line, station, order_occ) repeats for 1004FR/009.1 010.9/occ 3, 1204OS/063.3 060.0/occ 22 and 1204OS/070.0 055.0/occ 45. Largely ANSWERED: the Notes sheet reports ""M. magister megalopae found in 14 samples (15 total removal vials)"", which matches the 15 positive rows / 14 positive occupations found here exactly, so the repeats are per-vial. Remaining ask: whether a vial identifier exists (the vials are archived at SIO PIC), so occurrence can be reported per sample rather than per row.",answered,normal,,"ANSWERED 2026-09-04 (UCSD Library deposit README, calcofi_dungeness_crab_megalopae_timeseries_2008-2014, prepared by Betty Huang): confirmed. The creator's own summary reads ""M. magister megalopae found in 14 samples (15 total removal vials)"", i.e. three station occupations were examined twice as separate jars; the README notes the 1204OS line 70 station 55 (2012-04-14) case explicitly, where the positive-tows summary sums both jars but carries only one jar's volume.",2026-09-04,2026-09-04,Betty Huang (deposit README),dungeness_sample,
