table,name_long,description_md,provider,dataset
cruise,Cruise,Per-cruise reference (natural key YYYY-MM-NODC + date_ym + ship) enriched in release_database.qmd with year/month/ship_name/ship_nodc and per-dataset event counts (distinct root sampling events for ichthyo bottle CTD and DIC) computed from the consolidated obs and sample. Folds in the former cruise_summary. Used by the CalCOFI cruises Shiny app.,calcofi,calcofi-db-release
spatial,Spatial Layers,Geometries for ancillary spatial layers (CA jurisdictions NOAA boundaries marine protected areas etc.) keyed by spatial_key. Sourced from metadata/spatial_layers.csv. Companion to spatial_attribute.,calcofi,spatial
spatial_attribute,Spatial Layer Attributes,Non-geometry attributes for features in spatial in long entity-attribute-value form (spatial_key layer fld and one typed val_* column). Allows attribute schemas to differ across layers without column proliferation.,calcofi,spatial
obs,Observations,"DEPRECATED — a view over `obs_bio` + `obs_env` (the observation tables since v2026.09; `catalog.json` `views.obs`), still shipped as its own objects for this one release (`deprecated: true`, `replaced_by`, `removed_in`); read the pair directly. Consolidated occurrence-headline observations across every dataset in tidy long form (one scalar per row) with realm (env or bio) and dataset_key provenance. Carries a namespaced sample_key (dataset:type:id) grid_key cruise_key position/time/depth taxon_key + life_stage for biology measurement_type/value/qual/prec and a computed H3 hex_id. Environmental CTD comes via the thinned ctd_thin; full scans live in obs_ctd_full.",calcofi,calcofi-db-release
obs_bio,Biological Observations,"The bio realm of the observations — one row per taxon occurrence headline (count, density or biomass) with the gear and effort of its own sampling event inline (`tow_type`, `std_haul_factor`, `prop_sorted`, `volume_sampled_m3`), the two standardized densities (`density_per_10m2`, `density_per_1000m3`) and `effort_class`, `qual_ok`, `root_id` (→ `sample_root`), `sample_key` (→ `sample`, the net / tow itself), `hex_id` (H3 res 10) and `hex7`. A strict superset of `obs`'s bio rows under a name mapping (`value` = `measurement_value`, realm implied); `obs` is a view over this table and `obs_env`. One object (~26 MB), read whole by the CalCOFI Explorer. Depth is the observation's, falling back to its sample's span (a net tow) and its root's.",calcofi,calcofi-db-release
obs_env,Environmental Observations,"The env realm of the observations — one row per measured scalar (bottle, CTD headline series `ctd_thin`, DIC, METS, picoplankton) with the same columns as `obs_bio` (effort and taxon NULL), `qual_ok` evaluated, `root_id` (→ `sample_root`), `sample_key` (→ `sample`, the bottle / cast), `hex_id` and `hex7`. Hive-partitioned by `measurement_type` so one variable is one object (~4 MB median); `obs` is a view over `obs_bio` and this table. A strict superset of `obs`'s env rows under a name mapping (`value` = `measurement_value`).",calcofi,calcofi-db-release
sample,Samples,Unified sampling-event dimension (adjacency list) spanning every dataset with one row per physical event (site tow net cast bottle underway transect region_pool). parent_sample_key + root_sample_key encode the site to tow to net and cast to bottle hierarchies without attribute inheritance. Holds position/time/depth and geometry and subsumes the per-dataset event tables (site tow net casts ctd_cast dic_sample and the various *_tow and *_sample tables).,calcofi,calcofi-db-release
obs_freq,Observation Frequencies,Sub-occurrence (bin count) frequency distributions within a taxon-occurrence such as ichthyoplankton larval body_length and developmental stage distributions. Linked to obs by sample_key + taxon_id + life_stage with bin_value bin_label and count. A core table generalized for future size-spectra datasets.,calcofi,calcofi-db-release
sample_measurement,Sample Measurements,Event-level effort measurements that apply to all taxa in a sampling event such as net volume_sampled std_haul_factor prop_sorted and plankton biomass plus bottle cast conditions. Tidy long form keyed by sample_key and stored once per event (not repeated per taxon).,calcofi,calcofi-db-release
obs_ctd_full,Full CTD Observations,Supplemental full-resolution CTD scans (~216M rows) with the same schema as obs and all realm=env dataset_key=calcofi_ctd-cast. Opt-in for deep CTD work; the default obs carries CTD via the thinned ctd_thin. Overlap rule: for full resolution filter CTD out of obs and UNION obs_ctd_full (never sum both).,calcofi,calcofi-db-release
climatology,Climatology,"The one seasonal baseline every CalCOFI anomaly is a departure from (calcofi4db::build_climatology(), release_database.qmd browser_objects). A plain mean of the env realm of obs per dataset × station (grid_key) × calendar month × 10 m floor depth bin × measurement type across the window stamped on every row (clim_yr_min–clim_yr_max, 1993–2013), kept only where at least 3 distinct cruises contribute. Calendar month because CalCOFI's quarterly cruises give many years per month at a station but few days; 10 m floor bins (labelled by the shallow edge) because obs carries the thinned CTD series and 5 m off-grid bins sample only the profile's inflection points. Partitioned by measurement_type. ctd-transects, the Explorer's Sections lens and calcofi4r::cc_climatology() subtract this table; a cell that is absent has no baseline and its anomaly is blank, never zero.",calcofi,calcofi-db-release
